property_id,city,property_type,bedrooms,bathrooms,square_feet,year_built,price,price_per_sqft,days_on_market
PROP-0034,Miami,Multi-Family,3,3.0,1881,2009,1014000.0,539.07,13
PROP-0035,Boston,Single Family,3,3.8,2070,2020,1299000.0,627.54,32
PROP-0036,Phoenix,Condo,4,5.0,2097,2012,611000.0,291.37,34
PROP-0037,Seattle,Single Family,5,3.8,2994,1978,1629000.0,544.09,93
PROP-0038,Denver,Multi-Family,2,2.0,1022,1991,472000.0,461.84,97
PROP-0039,Denver,Condo,1,1.0,613,2008,231000.0,376.84,47
PROP-0040,Phoenix,Condo,2,2.5,1425,2004,378000.0,265.26,23
PROP-0041,Seattle,Single Family,2,1.5,1429,2006,715000.0,500.35,83
PROP-0042,Denver,Townhouse,2,2.0,1059,1976,419000.0,395.66,50
PROP-0043,Miami,Condo,3,2.2,1748,2008,1088000.0,622.43,120
PROP-0044,Miami,Multi-Family,5,5.0,2481,1990,1492000.0,601.37,20
PROP-0045,Chicago,Townhouse,2,2.0,1415,1977,420000.0,296.82,39
PROP-0046,Chicago,Single Family,5,5.0,2514,1989,727000.0,289.18,94
PROP-0047,Seattle,Single Family,4,4.0,2834,1976,1555000.0,548.69,13
PROP-0048,Miami,Townhouse,3,3.8,2239,2001,1200000.0,535.95,79
PROP-0049,Seattle,Multi-Family,4,4.0,1807,2010,983000.0,544.0,56
PROP-0050,Austin,Multi-Family,2,2.5,988,2007,372000.0,376.52,104
PROP-0051,Austin,Single Family,2,2.5,1279,1990,585000.0,457.39,49
PROP-0052,Denver,Condo,3,2.2,1470,1991,629000.0,427.89,30
PROP-0053,Miami,Townhouse,3,3.8,2241,2013,1154000.0,514.95,16
PROP-0054,Denver,Condo,4,3.0,2334,2010,942000.0,403.6,113
PROP-0055,Seattle,Multi-Family,3,3.0,2014,2017,838000.0,416.09,90
PROP-0056,Seattle,Single Family,1,1.0,637,1994,311000.0,488.23,43
PROP-0057,Miami,Multi-Family,3,3.8,1454,2005,656000.0,451.17,19
PROP-0058,Austin,Townhouse,2,2.0,1174,1995,483000.0,411.41,48
PROP-0059,Phoenix,Condo,4,5.0,2807,2021,867000.0,308.87,6
PROP-0060,Denver,Condo,3,3.8,1453,2011,670000.0,461.11,41
PROP-0061,Miami,Multi-Family,2,1.5,1368,2023,823000.0,601.61,31
PROP-0062,Denver,Multi-Family,5,6.2,2586,2018,1052000.0,406.81,25
PROP-0063,Austin,Townhouse,2,2.5,1001,2014,410000.0,409.59,58
PROP-0064,Phoenix,Condo,3,3.0,1702,2022,596000.0,350.18,37
PROP-0065,Phoenix,Multi-Family,3,3.0,2113,2007,690000.0,326.55,54
PROP-0066,Chicago,Townhouse,1,1.2,569,2020,174000.0,305.8,89
PROP-0067,Seattle,Multi-Family,3,2.2,1370,2022,678000.0,494.89,77
PROP-0068,Chicago,Condo,3,3.8,1452,2006,360000.0,247.93,109
PROP-0069,Chicago,Single Family,5,5.0,2698,2013,727000.0,269.46,45
PROP-0070,Boston,Condo,2,1.5,1057,1988,568000.0,537.37,59
PROP-0071,Chicago,Condo,3,3.8,1493,2000,366000.0,245.14,56
PROP-0072,Denver,Condo,4,3.0,1938,2022,768000.0,396.28,27
PROP-0073,Miami,Condo,2,2.5,1362,2020,782000.0,574.16,81
PROP-0074,Miami,Condo,3,3.0,2137,1977,1305000.0,610.67,69
PROP-0075,Austin,Single Family,5,6.2,3448,1976,1289000.0,373.84,12
PROP-0076,Boston,Multi-Family,3,3.8,2159,1978,1327000.0,614.64,100
PROP-0077,Miami,Townhouse,3,2.2,1885,1992,951000.0,504.51,11
PROP-0078,Miami,Townhouse,4,5.0,2603,1994,1464000.0,562.43,31
PROP-0079,Chicago,Townhouse,4,5.0,2417,2010,579000.0,239.55,19
PROP-0080,Seattle,Single Family,3,3.8,1772,1987,937000.0,528.78,39
PROP-0081,Austin,Multi-Family,1,0.8,517,2021,188000.0,363.64,113
PROP-0082,Austin,Multi-Family,4,5.0,2941,1986,987000.0,335.6,49
PROP-0083,Seattle,Condo,2,2.0,1253,1989,560000.0,446.93,19
PROP-0084,Boston,Single Family,1,1.0,709,1981,400000.0,564.17,102
PROP-0085,Phoenix,Multi-Family,3,3.8,1572,2010,547000.0,347.96,37
PROP-0086,Seattle,Multi-Family,2,1.5,913,1978,449000.0,491.79,116
PROP-0087,Chicago,Single Family,2,2.5,927,2006,256000.0,276.16,64
PROP-0088,Phoenix,Single Family,5,3.8,3263,1989,896000.0,274.59,37
PROP-0089,Denver,Multi-Family,3,3.8,2021,2001,840000.0,415.64,16
PROP-0090,Chicago,Multi-Family,5,5.0,2873,2001,809000.0,281.59,117
PROP-0091,Miami,Condo,2,2.5,1414,1995,833000.0,589.11,78
PROP-0092,Boston,Townhouse,2,2.0,1383,2016,808000.0,584.24,23
PROP-0093,Miami,Townhouse,1,1.0,722,1977,450000.0,623.27,86
PROP-0094,Austin,Townhouse,3,2.2,1351,2017,468000.0,346.41,29
PROP-0095,Phoenix,Condo,4,4.0,1896,2001,701000.0,369.73,60
PROP-0096,Miami,Single Family,3,3.0,2110,1994,1213000.0,574.88,49
PROP-0097,Denver,Single Family,4,3.0,2331,2004,925000.0,396.83,104
PROP-0098,Boston,Townhouse,3,2.2,2202,1976,1289000.0,585.38,76
PROP-0099,Chicago,Multi-Family,3,3.0,1965,1997,523000.0,266.16,76
PROP-0100,Denver,Townhouse,2,2.0,1334,2015,471000.0,353.07,42
PROP-0101,Austin,Condo,3,3.0,1754,1982,639000.0,364.31,90
PROP-0102,Chicago,Multi-Family,3,2.2,2042,1987,564000.0,276.2,23
PROP-0103,Chicago,Townhouse,4,5.0,2286,2006,722000.0,315.84,106
PROP-0104,Austin,Single Family,3,2.2,1898,2001,722000.0,380.4,13
PROP-0105,Miami,Condo,3,2.2,1844,2014,908000.0,492.41,7
PROP-0106,Chicago,Condo,3,2.2,1724,1983,448000.0,259.86,49
PROP-0107,Denver,Single Family,4,5.0,1919,1995,799000.0,416.36,53
PROP-0108,Miami,Condo,4,5.0,2720,2013,1348000.0,495.59,23
PROP-0109,Denver,Multi-Family,1,1.2,744,1998,332000.0,446.24,59
PROP-0110,Chicago,Single Family,5,6.2,2596,2000,823000.0,317.03,78
PROP-0111,Austin,Townhouse,5,3.8,3573,1995,1284000.0,359.36,51
PROP-0112,Miami,Single Family,3,3.0,2035,2022,1001000.0,491.89,73
PROP-0113,Denver,Condo,2,2.0,1373,1990,555000.0,404.22,29
PROP-0114,Phoenix,Multi-Family,3,3.0,1484,2020,392000.0,264.15,26
PROP-0115,Austin,Multi-Family,4,4.0,2214,2008,974000.0,439.93,59
PROP-0116,Boston,Condo,4,4.0,2637,1980,1721000.0,652.64,16
PROP-0117,Chicago,Single Family,2,1.5,1424,1985,404000.0,283.71,35
PROP-0118,Denver,Condo,5,3.8,2894,1987,1264000.0,436.77,109
PROP-0119,Denver,Townhouse,5,6.2,3578,2006,1402000.0,391.84,89
PROP-0120,Seattle,Townhouse,3,2.2,2062,1998,865000.0,419.5,39
PROP-0121,Chicago,Single Family,2,2.5,971,1978,234000.0,240.99,56
PROP-0122,Denver,Multi-Family,3,3.8,2127,2011,833000.0,391.63,86
PROP-0123,Austin,Townhouse,3,2.2,2163,1989,796000.0,368.01,32
PROP-0124,Seattle,Townhouse,3,3.0,1517,1996,663000.0,437.05,85
PROP-0125,Denver,Single Family,5,5.0,2798,2007,1182000.0,422.44,76
PROP-0126,Phoenix,Multi-Family,3,3.8,2112,1993,701000.0,331.91,82
PROP-0127,Seattle,Multi-Family,3,2.2,2149,2017,1138000.0,529.55,63
PROP-0128,Seattle,Single Family,2,2.5,1149,1992,604000.0,525.67,119
PROP-0129,Phoenix,Single Family,3,3.8,1374,1986,490000.0,356.62,61
PROP-0130,Miami,Single Family,3,2.2,1790,2015,988000.0,551.96,13
PROP-0131,Austin,Townhouse,3,2.2,1916,2013,679000.0,354.38,95
PROP-0132,Chicago,Multi-Family,4,3.0,2628,1981,753000.0,286.53,78
PROP-0133,Seattle,Townhouse,3,3.8,1699,2019,877000.0,516.19,113
PROP-0134,Denver,Townhouse,3,3.8,1628,2015,647000.0,397.42,38
PROP-0135,Austin,Single Family,3,2.2,1362,2023,571000.0,419.24,17
PROP-0136,Seattle,Condo,4,3.0,2436,2002,1100000.0,451.56,22
PROP-0137,Seattle,Single Family,5,5.0,3715,2002,2004000.0,539.43,119
PROP-0138,Austin,Townhouse,4,3.0,1825,2022,826000.0,452.6,87
PROP-0139,Seattle,Multi-Family,1,0.8,609,2014,271000.0,444.99,44
PROP-0140,Boston,Single Family,3,2.2,1586,2016,922000.0,581.34,106
PROP-0141,Seattle,Multi-Family,5,5.0,3437,2017,1402000.0,407.91,86
PROP-0142,Phoenix,Townhouse,2,2.5,1372,1986,416000.0,303.21,76
PROP-0143,Seattle,Multi-Family,3,3.8,1423,1979,636000.0,446.94,29
PROP-0144,Seattle,Multi-Family,5,5.0,3606,2009,1901000.0,527.18,106
PROP-0145,Boston,Condo,4,4.0,1886,2023,1160000.0,615.06,85
PROP-0146,Chicago,Condo,3,3.8,1794,2001,564000.0,314.38,78
PROP-0147,Seattle,Single Family,5,5.0,2252,1989,1228000.0,545.29,29
PROP-0148,Denver,Single Family,3,2.2,1784,2013,824000.0,461.88,45
PROP-0149,Austin,Townhouse,2,2.0,1325,2012,601000.0,453.58,20
PROP-0150,Denver,Townhouse,3,3.0,1863,2011,835000.0,448.2,71
PROP-0151,Phoenix,Multi-Family,3,3.8,1882,1989,694000.0,368.76,110
PROP-0152,Denver,Condo,2,2.0,1327,2020,471000.0,354.94,96
PROP-0153,Chicago,Townhouse,1,0.8,587,2014,144000.0,245.32,4
PROP-0154,Chicago,Multi-Family,1,1.2,462,1984,147000.0,318.18,92
PROP-0155,Seattle,Townhouse,2,1.5,1327,1990,590000.0,444.61,4
PROP-0156,Miami,Multi-Family,3,3.0,1762,1982,860000.0,488.08,85
PROP-0157,Phoenix,Condo,3,2.2,1800,2001,511000.0,283.89,66
PROP-0158,Miami,Townhouse,3,3.8,1455,1993,674000.0,463.23,32
PROP-0159,Chicago,Multi-Family,3,2.2,2170,2006,534000.0,246.08,89
PROP-0160,Austin,Townhouse,3,3.0,1593,1988,577000.0,362.21,99
PROP-0161,Miami,Condo,2,1.5,951,2020,589000.0,619.35,55
PROP-0162,Denver,Condo,2,2.0,1320,2009,526000.0,398.48,59
PROP-0163,Phoenix,Townhouse,2,1.5,1283,1991,341000.0,265.78,71
PROP-0164,Phoenix,Single Family,1,1.2,654,2010,207000.0,316.51,85
PROP-0165,Phoenix,Townhouse,4,5.0,2030,1976,609000.0,300.0,118
PROP-0166,Phoenix,Condo,1,0.8,528,2011,163000.0,308.71,33
PROP-0167,Boston,Multi-Family,4,5.0,1928,2023,1017000.0,527.49,22
PROP-0168,Miami,Condo,1,1.2,461,2005,230000.0,498.92,42
PROP-0169,Boston,Condo,3,3.0,1609,1998,1057000.0,656.93,31
PROP-0170,Denver,Condo,2,2.0,1417,2023,549000.0,387.44,29
PROP-0171,Austin,Townhouse,3,3.0,1658,1986,766000.0,462.0,77
PROP-0172,Boston,Condo,2,2.5,1102,1998,703000.0,637.93,11
PROP-0173,Denver,Condo,4,3.0,1987,1993,818000.0,411.68,20
PROP-0174,Seattle,Single Family,2,2.0,1320,1986,749000.0,567.42,111
PROP-0175,Miami,Single Family,4,4.0,2440,1975,1242000.0,509.02,64
PROP-0176,Seattle,Multi-Family,2,2.0,1037,2021,485000.0,467.7,100
PROP-0177,Denver,Townhouse,3,3.0,1684,1990,685000.0,406.77,99
PROP-0178,Miami,Multi-Family,2,2.0,1141,1998,684000.0,599.47,37
PROP-0179,Boston,Condo,3,3.8,1467,1982,694000.0,473.07,24
PROP-0180,Miami,Multi-Family,4,3.0,2171,2021,1118000.0,514.97,114
PROP-0181,Miami,Single Family,5,3.8,2463,2009,1300000.0,527.81,82
PROP-0182,Denver,Single Family,2,2.0,1229,2018,484000.0,393.82,24
PROP-0183,Boston,Multi-Family,2,2.0,1038,1998,512000.0,493.26,35
PROP-0184,Denver,Multi-Family,3,3.0,1614,1976,672000.0,416.36,65
PROP-0185,Austin,Single Family,2,1.5,1038,2016,446000.0,429.67,64
PROP-0186,Austin,Townhouse,4,4.0,2179,1990,983000.0,451.12,105
PROP-0187,Seattle,Multi-Family,4,5.0,2466,2009,1011000.0,409.98,104
PROP-0188,Phoenix,Multi-Family,1,1.2,728,2003,214000.0,293.96,55
PROP-0189,Denver,Townhouse,2,2.5,996,1980,361000.0,362.45,105
PROP-0190,Denver,Condo,4,3.0,2005,2002,935000.0,466.33,111
PROP-0191,Miami,Condo,4,3.0,2451,2005,1229000.0,501.43,44
PROP-0192,Phoenix,Single Family,5,6.2,3566,2021,1084000.0,303.98,8
PROP-0193,Phoenix,Townhouse,2,1.5,1118,2009,383000.0,342.58,28
PROP-0194,Miami,Single Family,3,2.2,2013,2004,1245000.0,618.48,13
PROP-0195,Phoenix,Single Family,4,5.0,2511,2023,693000.0,275.99,61
PROP-0196,Phoenix,Multi-Family,3,3.0,1358,2021,459000.0,338.0,109
PROP-0197,Seattle,Townhouse,3,2.2,2102,2019,1132000.0,538.53,115
PROP-0198,Phoenix,Condo,5,5.0,3242,1986,913000.0,281.62,116
PROP-0199,Austin,Townhouse,5,5.0,3727,1996,1374000.0,368.66,28
PROP-0200,Seattle,Condo,2,1.5,927,2001,415000.0,447.68,103
PROP-0201,Denver,Townhouse,3,3.0,1494,1999,605000.0,404.95,81
PROP-0202,Chicago,Townhouse,3,3.8,1952,2013,641000.0,328.38,76
PROP-0203,Chicago,Single Family,5,5.0,3642,1993,1201000.0,329.76,108
PROP-0204,Boston,Single Family,3,2.2,1927,1995,1246000.0,646.6,72
PROP-0205,Chicago,Condo,5,5.0,2801,2002,741000.0,264.55,109
PROP-0206,Boston,Townhouse,2,2.0,1054,1997,550000.0,521.82,47
PROP-0207,Miami,Multi-Family,3,3.0,1782,1995,972000.0,545.45,33
PROP-0208,Austin,Multi-Family,2,2.5,1180,1979,510000.0,432.2,76
PROP-0209,Austin,Townhouse,2,2.5,1452,1993,666000.0,458.68,12
PROP-0210,Chicago,Condo,3,2.2,1942,1985,505000.0,260.04,67
PROP-0211,Chicago,Condo,4,4.0,2856,2021,945000.0,330.88,100
PROP-0212,Denver,Single Family,3,3.8,1626,2006,704000.0,432.96,109
PROP-0213,Phoenix,Multi-Family,2,2.0,1156,1987,400000.0,346.02,104
PROP-0214,Miami,Condo,4,5.0,2341,1999,1388000.0,592.91,105
PROP-0215,Phoenix,Condo,5,5.0,3500,2017,1012000.0,289.14,23
PROP-0216,Austin,Multi-Family,2,1.5,940,1979,419000.0,445.74,106
PROP-0217,Boston,Townhouse,2,2.5,1036,1984,568000.0,548.26,31
PROP-0218,Boston,Condo,5,5.0,3484,1988,1738000.0,498.85,62
PROP-0219,Austin,Multi-Family,4,4.0,2689,2014,1214000.0,451.47,109
PROP-0220,Boston,Single Family,2,1.5,1251,1985,688000.0,549.96,64
PROP-0221,Phoenix,Condo,1,1.2,456,1996,129000.0,282.89,112
PROP-0222,Seattle,Multi-Family,3,3.0,1657,1984,696000.0,420.04,117
PROP-0223,Denver,Condo,2,1.5,1219,2023,575000.0,471.7,15
PROP-0224,Miami,Multi-Family,5,6.2,3237,1992,1577000.0,487.18,37
PROP-0225,Denver,Townhouse,4,4.0,2782,1988,1304000.0,468.73,66
PROP-0226,Miami,Condo,3,2.2,2072,1996,1142000.0,551.16,100
PROP-0227,Seattle,Single Family,3,3.0,1701,2019,948000.0,557.32,102
PROP-0228,Seattle,Multi-Family,2,2.5,1051,1991,525000.0,499.52,57
PROP-0229,Phoenix,Multi-Family,2,1.5,1273,2004,448000.0,351.92,66
PROP-0230,Denver,Single Family,4,4.0,2508,2005,1029000.0,410.29,40
PROP-0231,Austin,Single Family,3,3.0,2225,2013,841000.0,377.98,100
PROP-0232,Austin,Townhouse,5,6.2,3240,1986,1235000.0,381.17,38
PROP-0233,Seattle,Multi-Family,4,4.0,2507,1978,1395000.0,556.44,16
PROP-0234,Phoenix,Single Family,5,3.8,3263,1985,896000.0,274.59,7
PROP-0235,Miami,Multi-Family,4,5.0,2507,2011,1122000.0,447.55,4
PROP-0236,Miami,Single Family,1,1.2,466,2022,211000.0,452.79,99
PROP-0237,Austin,Multi-Family,2,2.0,1071,2023,440000.0,410.83,28
PROP-0238,Boston,Multi-Family,1,1.2,599,2003,317000.0,529.22,41
PROP-0239,Denver,Condo,2,2.5,1172,2014,537000.0,458.19,29
PROP-0240,Austin,Condo,4,5.0,2916,1987,1251000.0,429.01,89
PROP-0241,Austin,Multi-Family,5,3.8,3371,2001,1543000.0,457.73,5
PROP-0242,Phoenix,Multi-Family,1,1.2,471,1978,155000.0,329.09,102
PROP-0243,Chicago,Condo,1,1.2,596,2023,183000.0,307.05,87
PROP-0244,Miami,Single Family,2,2.0,1275,2015,639000.0,501.18,65
PROP-0245,Seattle,Multi-Family,4,5.0,2283,1979,1196000.0,523.87,119
PROP-0246,Austin,Single Family,4,4.0,2111,2010,786000.0,372.34,111
PROP-0247,Seattle,Condo,3,3.0,1570,2011,677000.0,431.21,40
PROP-0248,Boston,Townhouse,2,1.5,1138,2009,616000.0,541.3,115
PROP-0249,Austin,Townhouse,3,3.8,1550,2020,640000.0,412.9,15
PROP-0250,Austin,Condo,3,3.0,2009,1978,899000.0,447.49,119
PROP-0251,Miami,Multi-Family,3,3.8,1816,1977,855000.0,470.81,39
PROP-0252,Chicago,Single Family,3,3.0,1948,1978,569000.0,292.09,22
PROP-0253,Phoenix,Multi-Family,2,2.0,1095,2003,364000.0,332.42,120
PROP-0254,Boston,Condo,2,1.5,1441,1975,800000.0,555.17,13
PROP-0255,Boston,Single Family,2,2.0,1475,1993,859000.0,582.37,61
PROP-0256,Phoenix,Single Family,4,5.0,2284,2010,801000.0,350.7,55
PROP-0257,Chicago,Single Family,2,2.0,1097,1983,297000.0,270.74,99
PROP-0258,Seattle,Single Family,5,6.2,2615,1975,1309000.0,500.57,50
PROP-0259,Miami,Single Family,4,4.0,2640,2001,1356000.0,513.64,26
PROP-0260,Austin,Multi-Family,4,5.0,1926,1977,794000.0,412.25,88
PROP-0261,Miami,Condo,4,4.0,2377,1996,1266000.0,532.6,89
PROP-0262,Denver,Townhouse,4,5.0,2234,2012,1060000.0,474.49,61
PROP-0263,Denver,Condo,2,2.0,1083,1981,432000.0,398.89,81
PROP-0264,Phoenix,Single Family,3,3.8,1405,2020,472000.0,335.94,73
PROP-0265,Seattle,Townhouse,5,5.0,2280,1997,1089000.0,477.63,107
PROP-0266,Seattle,Multi-Family,3,3.8,1352,2000,667000.0,493.34,83
PROP-0267,Seattle,Townhouse,4,4.0,2084,2020,934000.0,448.18,25
PROP-0268,Boston,Condo,3,3.8,1437,2011,862000.0,599.86,64
PROP-0269,Seattle,Townhouse,5,5.0,3182,1976,1649000.0,518.23,113
PROP-0270,Austin,Townhouse,1,0.8,573,1986,228000.0,397.91,58
PROP-0271,Boston,Townhouse,3,3.8,1948,1990,1267000.0,650.41,116
PROP-0272,Seattle,Condo,5,6.2,3328,1984,1484000.0,445.91,104
PROP-0273,Chicago,Condo,3,2.2,2018,1987,524000.0,259.66,101
PROP-0274,Denver,Townhouse,3,2.2,1784,1986,815000.0,456.84,59
PROP-0275,Boston,Single Family,2,1.5,1318,2019,691000.0,524.28,76
PROP-0276,Chicago,Condo,1,1.2,459,1976,123000.0,267.97,26
PROP-0277,Phoenix,Multi-Family,3,3.0,1410,2023,412000.0,292.2,33
PROP-0278,Phoenix,Multi-Family,3,3.0,1634,2021,521000.0,318.85,115
PROP-0279,Denver,Townhouse,4,5.0,2541,2020,1038000.0,408.5,107
PROP-0280,Miami,Single Family,3,3.0,1841,1986,1044000.0,567.08,65
PROP-0281,Miami,Single Family,1,0.8,724,2016,412000.0,569.06,41
PROP-0282,Denver,Single Family,3,3.8,1363,2020,583000.0,427.73,40
PROP-0283,Phoenix,Multi-Family,2,1.5,904,1999,260000.0,287.61,54
PROP-0284,Miami,Condo,3,3.8,1414,1988,744000.0,526.17,111
PROP-0285,Austin,Single Family,1,1.0,570,2018,222000.0,389.47,8
PROP-0286,Denver,Single Family,4,5.0,2011,1975,853000.0,424.17,81
PROP-0287,Chicago,Single Family,3,3.0,1570,2020,489000.0,311.46,40
PROP-0288,Boston,Townhouse,4,5.0,2858,1992,1409000.0,493.0,35
PROP-0289,Austin,Townhouse,3,3.0,1834,1980,816000.0,444.93,83
PROP-0290,Phoenix,Single Family,4,5.0,1895,2018,520000.0,274.41,120
PROP-0291,Miami,Condo,5,5.0,3328,1986,1885000.0,566.41,38
PROP-0292,Phoenix,Multi-Family,4,3.0,2081,1989,639000.0,307.06,42
PROP-0293,Austin,Townhouse,3,3.8,1973,1978,870000.0,440.95,69
PROP-0294,Seattle,Multi-Family,2,1.5,1223,2020,578000.0,472.61,62
PROP-0295,Austin,Townhouse,4,5.0,1945,1978,772000.0,396.92,114
PROP-0296,Chicago,Single Family,3,3.0,1758,2013,537000.0,305.46,14
PROP-0297,Chicago,Condo,3,2.2,1933,2019,491000.0,254.01,82
PROP-0298,Austin,Single Family,3,3.8,1350,1983,526000.0,389.63,13
PROP-0299,Chicago,Single Family,1,0.8,650,2015,181000.0,278.46,31
PROP-0300,Seattle,Single Family,5,5.0,3412,1983,1662000.0,487.1,49
PROP-0301,Austin,Townhouse,2,2.5,1388,2001,607000.0,437.32,36
PROP-0302,Boston,Multi-Family,3,3.0,1494,1982,921000.0,616.47,74
PROP-0303,Seattle,Single Family,5,3.8,3328,1975,1367000.0,410.76,60
PROP-0304,Miami,Single Family,4,4.0,2934,2014,1326000.0,451.94,30
PROP-0305,Austin,Condo,5,5.0,3444,2012,1323000.0,384.15,88
PROP-0306,Chicago,Townhouse,3,3.8,1956,2020,621000.0,317.48,40
PROP-0307,Chicago,Condo,2,2.5,1381,2003,439000.0,317.89,102
PROP-0308,Chicago,Townhouse,4,4.0,2627,1993,713000.0,271.41,6
PROP-0309,Boston,Condo,3,2.2,1561,1978,921000.0,590.01,33
PROP-0310,Chicago,Multi-Family,2,2.0,1076,2014,345000.0,320.63,35
PROP-0311,Austin,Single Family,3,3.8,1372,1990,559000.0,407.43,118
PROP-0312,Denver,Townhouse,2,2.0,1048,2020,395000.0,376.91,57
PROP-0313,Phoenix,Townhouse,3,3.8,1743,1997,520000.0,298.34,91
PROP-0314,Denver,Multi-Family,3,3.0,1717,2005,822000.0,478.74,104
PROP-0315,Phoenix,Multi-Family,3,2.2,2083,1986,630000.0,302.45,91
PROP-0316,Seattle,Multi-Family,2,2.5,1427,2018,738000.0,517.17,52
PROP-0317,Boston,Single Family,3,2.2,1688,1987,958000.0,567.54,62
PROP-0318,Miami,Single Family,3,2.2,2149,2010,1194000.0,555.61,73
PROP-0319,Miami,Condo,5,6.2,2891,1989,1416000.0,489.8,35
PROP-0320,Denver,Multi-Family,3,2.2,1915,2016,872000.0,455.35,34
PROP-0321,Austin,Condo,3,3.8,1537,2021,703000.0,457.38,83
PROP-0322,Chicago,Multi-Family,2,2.5,1136,1976,298000.0,262.32,119
PROP-0323,Austin,Townhouse,4,3.0,1840,2020,701000.0,380.98,85
PROP-0324,Boston,Townhouse,2,1.5,1304,2020,739000.0,566.72,90
PROP-0325,Austin,Multi-Family,4,3.0,1978,2000,718000.0,362.99,102
PROP-0326,Boston,Townhouse,1,1.0,584,2003,380000.0,650.68,110
PROP-0327,Denver,Single Family,2,2.5,912,2023,320000.0,350.88,76
PROP-0328,Miami,Multi-Family,4,3.0,2030,1984,1000000.0,492.61,21
PROP-0329,Boston,Single Family,3,3.0,2180,1995,1055000.0,483.94,103
PROP-0330,Austin,Condo,4,4.0,2082,1997,970000.0,465.9,4
PROP-0331,Chicago,Townhouse,2,2.5,900,1986,253000.0,281.11,54
PROP-0332,Denver,Single Family,3,3.8,1970,1994,897000.0,455.33,42
PROP-0333,Chicago,Townhouse,5,6.2,3300,2000,992000.0,300.61,44
PROP-0334,Boston,Single Family,2,2.0,973,2019,547000.0,562.18,98
PROP-0335,Miami,Condo,5,3.8,2612,1992,1210000.0,463.25,109
PROP-0336,Seattle,Townhouse,3,3.0,1397,2009,640000.0,458.12,72
PROP-0337,Austin,Condo,5,6.2,2815,1985,957000.0,339.96,21
PROP-0338,Boston,Multi-Family,2,2.5,982,2022,532000.0,541.75,111
PROP-0339,Boston,Multi-Family,4,3.0,2846,2015,1739000.0,611.03,23
PROP-0340,Miami,Townhouse,1,1.0,638,2022,370000.0,579.94,90
PROP-0341,Seattle,Condo,3,2.2,1365,1980,726000.0,531.87,42
PROP-0342,Boston,Condo,4,4.0,2680,1975,1269000.0,473.51,82
PROP-0343,Seattle,Multi-Family,5,3.8,3360,1981,1787000.0,531.85,13
PROP-0344,Seattle,Condo,3,3.8,2204,2000,1224000.0,555.35,16
PROP-0345,Miami,Single Family,3,3.0,1503,2023,766000.0,509.65,104
PROP-0346,Phoenix,Townhouse,2,2.5,1183,2013,384000.0,324.6,48
